strategy,query_id,category,difficulty,query,gold_answer,hit_at_5,kw_cov,mrr,latency_s,answer,n_docs
Sparse (BM25),Q12,curriculum_structure,hard,What is the difference between Core Qualification and Elective modules in the Data Science program?,Core Qualification modules are compulsory for all program students. Elective modules are optional and allow specialisation in a sub-field.,1,1.0,1.0,12.75,"In the Master's program in Data Science, there are two types of modules: Core Qualification and Elective modules.

Core Qualification refers to the compulsory modules that students must complete as part of their degree. These modules are anchored with six credit points each and are designed to provide a solid foundation in data science. The core qualification is structured over 1.-3. semester, totaling 66 credit points.

Elective modules, on the other hand, are optional and allow students to specialize in specific areas of interest. They are also anchored with six credit points each, but they do not contribute to the overall degree requirements.",5
Sparse (BM25),Q13,curriculum_structure,hard,How many total credit points are needed to finish the Data Science master?,120 credit points — standard for a 4-semester German M.Sc.,1,1.0,1.0,10.37,"To complete the Master's program in Data Science, students need to earn a total of 24 credits from one of the three specializations (Specialization I. Data Science & Mathematics), plus the 6 CP from the ""Operation & Management"" module and the 6 CP from either Specialization II or III.

Therefore, the minimum number of credit points needed to finish the Data Science master is: 24 + 6 + 6 = 36",5
Sparse (BM25),Q14,recommendation,medium,I love mathematics and programming. What should I study at TUHH?,Data Science or Computer Science would suit you well — both require strong mathematical foundations and programming (Python).,1,0.333,1.0,13.73,"Based on your interests in mathematics and programming, I would recommend studying the Master's program ""Information and Communication Systems"" (M.Sc.) at TUHH.

This program seems to be a good match for you because it combines mathematical foundations with technical aspects of computer science and communication technology. The Advanced Seminar EIM I module (L3385) appears to be an excellent choice, as it allows you to delve deeper into the theoretical foundations of your interests, including mathematics and programming.

Additionally, the program's emphasis on professional competence suggests that you will gain practical skills in addition to theoretical knowledge, which could be beneficial for a career in the field.",5
Sparse (BM25),Q15,recommendation,easy,I am interested in deep learning and neural networks. Which module covers that?,"Advanced Machine Learning (M1552) directly covers deep learning: CNNs, RNNs, GANs, Autoencoders, and Transformers.",1,0.333,1.0,10.24,"The Master's program ""Global Technology and Innovation Management & Entrepreneurship"" has a strong focus on the technological aspects of business development and innovation, which includes exploring applications of deep learning in edge/embedded devices.

This module seems to be a good match for your interests in deep learning and neural networks. The course title ""Project Based Business Cooperation I (AAU)"" suggests that it involves practical work on applying neural networks, which aligns with the skills you mentioned.",5
Sparse (BM25),Q16,recommendation,medium,I want to understand Generative Adversarial Networks. What module should I take?,Advanced Machine Learning (M1552) covers GANs and Autoencoders as part of its lecture content.,1,0.667,1.0,21.02,"Based on the provided context, I would recommend taking the M.Sc. ""Data Science"" module, specifically Course L2323: Advanced Machine Learning.

This recommendation is based on the fact that Generative Adversarial Networks (GANs) are a key topic in this course, and it seems to be one of the modules that covers GANs in-depth. Additionally, the course has a typ Recitation Section with only 2 hours per week, which suggests that it will provide a more focused and in-depth learning experience.

The other modules you mentioned do not seem to cover GANs as extensively as Course L2323: Advanced Machine Learning. For example, Module M.Sc. ""Mechatronics"" has a course on Convolutional Neural Networks, but it does not mention GANs. Similarly, Module M.Sc. ""Computer Science"" also covers some topics related to neural networks, but GANs are not explicitly mentioned.

Taking Course L2323: Advanced Machine Learning will likely provide you with a solid understanding of Generative Adversarial Networks and their applications in machine learning.",5
Sparse (BM25),Q17,recommendation,hard,I want to work in AI research after my master. What should I focus on at TUHH?,"Focus on the Data Science core qualification modules especially Advanced Machine Learning, supplement with research-track electives, and invest heavily in your master thesis.",1,0.333,0.2,16.77,"Based on your interest in working in AI research, I would recommend focusing on the Master's program ""Information and Communication Systems"" at TUHH.

This program seems to align well with your interests in AI research, as it covers topics such as disruptive innovations, value- and business model innovation, and innovative business models. The module manual mentions that the course content is closely related to the research conducted at the Chemical Engineering department, which may also be relevant to AI research.

Additionally, the program's focus on interdisciplinary working methods and scientific orientation may provide a strong foundation for pursuing a career in AI research.

I don't have enough information about other programs at TUHH to make a direct comparison. However, I would suggest exploring the Master's program ""Information and Communication Systems"" further to see if it aligns with your interests and goals.",5
Sparse (BM25),Q18,recommendation,medium,I enjoy working in teams and group projects. Are there modules with teamwork?,Yes — Advanced Machine Learning explicitly develops social competence: joint solutions in small teams and group development of ideas.,1,0.667,1.0,13.66,"Yes, the module ""Design Thinking"" emphasizes teamwork and collaboration throughout its stages, from understanding to testing. The course is designed to foster a mindset of collaboration, which aligns well with your preference for working in teams.

Additionally, the Postgraduate Group Project places student teams to work with an industrial client on a real-world solution, providing ample opportunities for teamwork and group project experience.

I would recommend considering the Postgraduate Group Project module, as it not only focuses on teamwork but also allows students to apply their knowledge in a practical setting, working closely with industry partners. This aligns well with your interest in team-based work and provides valuable hands-on experience.",5
Sparse (BM25),Q19,recommendation,hard,I come from a physics background. Can I apply for the Data Science program?,"Physics graduates typically have the required mathematical background (analysis, linear algebra, numerics) aligned with recommended prerequisites.",0,0.0,0.0,7.28,"I don't have enough information about that in the provided documents. The context only discusses a specific module related to power dissipation in embedded systems, and there is no mention of the Data Science program or its contents.",5
Sparse (BM25),Q20,recommendation,medium,Which modules involve Python programming at TUHH?,Advanced Machine Learning explicitly recommends Python. Most Data Science core modules also use Python for implementations.,1,1.0,0.5,9.29,"Based on the provided context, I can tell you that there are several modules that involve Python programming at TUHH.

The Environmental Engineering program covers various aspects of environmental engineering, including reducing pollution, recovering valuable resources, and measuring sustainability. 

Additionally, the module ""Virtual Agents in Simulated 2D- or 3D Environments"" involves Python programming as a prerequisite for participation.",5
Sparse (BM25),Q21,logistics,easy,Is the Advanced Machine Learning course taught in English or German?,English (language code EN).,1,0.5,1.0,4.16,The Advanced Machine Learning course is taught in English.,5
Sparse (BM25),Q22,logistics,easy,How long is the Master of Science Data Science program at TUHH?,4 semesters (2 years).,1,1.0,0.5,8.78,"The Master of Science (M.Sc.) Data Science program at TUHH is a two-year program that begins each year in October. It consists of four semesters, with two and a half semesters dedicated to lectures and lab courses, and one and a half semesters devoted to working in a research team (project work) and writing the master's thesis.",5
Sparse (BM25),Q23,logistics,medium,What are the admission requirements for the Data Science master at TUHH?,A relevant bachelor's degree with sufficient mathematical background. Individual module admission requirements are listed as 'None'.,1,0.5,1.0,9.94,"The admission requirements for the Data Science master program at TUHH can be found in the provided context. According to the information, there is no explicit list of admission requirements mentioned.

However, I can tell you that the Data Science master program covers topics such as ""Data Science & Mathematics: Elective Compulsory"" and has a specialization in Computational Engineering, which might match your interests if you're interested in applying computational models to solve real-world problems.",5
Sparse (BM25),Q24,logistics,easy,What literature is recommended for the Advanced Machine Learning module?,Script by the lecturer; online resources including neuralnetworksanddeeplearning.com and deeplearningbook.org.,1,0.333,1.0,7.01,"For the Advanced Machine Learning module, the recommended literature includes:

1. Pasquale: New Laws of robotics
2. Verl et al.: Soft Robotics

These texts are likely to provide a good foundation for understanding the concepts and applications covered in the module.",5
Sparse (BM25),Q25,comparative,hard,What is the difference between Data Science and Computer Science programs at TUHH?,Both share modules like Advanced Machine Learning. Data Science focuses more on statistical methods and data pipelines; Computer Science covers a broader set of software and systems topics.,1,1.0,1.0,19.14,"The main difference between the Data Science and Computer Science programs at TUHH lies in their focus areas.

The Data Science program (Specialisation IV) has a special focus area, which suggests that it places more emphasis on applying mathematical and computational methods to extract insights from data. This program seems to match students who are interested in using data analysis and machine learning techniques to solve real-world problems.

On the other hand, the Computer Science program (Specialisation I) focuses on computer and software engineering, with an elective compulsory course in mathematics. This program appears to be more geared towards students who want to develop a strong foundation in computer science fundamentals, with a focus on practical applications.

Ultimately, the choice between these programs depends on your individual interests and career goals. If you're passionate about working with data and extracting insights, Data Science might be the better fit. However, if you prefer a more generalist approach to computer science, with a strong foundation in software engineering, Computer Science could be the way to go.",5
Sparse (BM25),Q26,comparative,medium,Which programs at TUHH share the Advanced Machine Learning module?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, Theoretical Mechanical Engineering.",1,0.333,0.5,8.38,"The Master's program in Data Science (M1552) shares the Advanced Machine Learning module. 

I recommend this program because it aligns with your interest in machine learning, as evidenced by your enrollment in Advanced Machine Learning modules. The Data Science program also covers other relevant topics such as Big Data and Information Geometry, which can complement your knowledge of machine learning.",5
Sparse (BM25),Q27,comparative,hard,Which TUHH programs involve machine learning?,"Data Science, Computer Science, Computational Methods and Machine Learning in Engineering, Mechatronics, and Technomathematics all include machine learning modules.",0,0.0,0.0,13.87,"Based on the provided context, I couldn't find any information about TUHH programs that specifically involve machine learning. The context only mentions the ""Chemical and Bioprocess Engineering"" program, which doesn't seem to be related to machine learning.

However, I can suggest that you consider the ""Environmental Engineering"" program, as it covers topics such as sustainability, environmental law constraints, and innovative technologies for reducing pollution and recovering resources. This program might align with your interests in environmental engineering and sustainability, but I couldn't confirm whether it involves machine learning specifically.

If you're interested in machine learning, I recommend exploring other programs or modules that focus on data science, artificial intelligence, or related fields.",5
Sparse (BM25),Q28,comparative,hard,What skills will I have after completing the Data Science master?,Professional knowledge: classify state-of-the-art neural networks. Practical skills: implement and apply neural networks to new domains. Social: collaborate in small teams. Autonomy: self-direct work and assess correctness independently.,1,0.25,1.0,11.26,"After completing the Master in Data Science, specifically within the Specialisation III. Applications: Elective Compulsory ""Data Science: Specialisation III. Applications"", you will have skills in:

* Developing framework and strategies for enabling a supportive environment for fostering creativity and innovation.
* Assessing and auditing the technology capabilities of a business.
* Analyzing problems related to creativity, innovation, and technology management.

These skills are relevant to understanding the importance of facilitating the adoption of new technology and gaining a competitive advantage through creativity, innovation, and technology management.",5
Sparse (BM25),Q29,comparative,hard,I want to combine engineering with advanced mathematics. What do you recommend?,Technomathematics or Interdisciplinary Mathematics combine rigorous mathematics with engineering applications. Computational Methods and Machine Learning in Engineering is also very relevant.,1,0.333,0.25,17.33,"Based on the context provided, it seems that you are interested in combining engineering with advanced mathematics.

I would recommend exploring our Master's program in Data Science at TUHH. This program covers a wide range of topics, including data analysis, machine learning, and statistical modeling, which can be combined with engineering principles to develop innovative solutions.

The program is designed to equip students with the necessary skills to apply theoretical knowledge in real-world business cases, which aligns with your interest in applying engineering with advanced mathematics. Additionally, the program's focus on developing practical skills through hands-on experience in labs and projects will provide you with a solid foundation for pursuing your interests in data science and engineering.

By combining engineering with advanced mathematics, you can explore applications such as IoT systems and develop innovative solutions that combine technical expertise with mathematical modeling.",5
Sparse (BM25),Q30,comparative,hard,Are there modules compulsory across multiple TUHH master programs?,Yes. Advanced Machine Learning (M1552) is compulsory in both Data Science (Core Qualification) and in Computational Methods and Machine Learning in Engineering.,1,0.333,1.0,13.6,"Yes, there are some compulsory modules that appear across multiple specializations in the Master program at TUHH.

For example, the ""basics of mechanics"" module is mentioned as a recommended previous course for both specializations ""Coastal Engineering"" and ""Structural Engineering"". Additionally, the ""basics of mathematics"" module is also mentioned as a recommended previous course for both specializations.

These modules are likely to be fundamental building blocks for many engineering disciplines, and it's not surprising that they would be required or recommended across multiple specializations.",5
Dense (Vector),Q01,direct_module,easy,What is the module Advanced Machine Learning about?,"Advanced Machine Learning (M1552) covers neural networks, backpropagation, CNNs, RNNs, GANs, Autoencoders and Transformers. It is worth 6 CP, examined by a 90-minute written exam, and taught in English in the winter semester.",1,0.25,0.333,11.47,"I don't have enough information about that in the provided documents. The context only mentions modules related to business, innovation, and technological innovation management, but does not mention any specific module called ""Advanced Machine Learning"".",5
Dense (Vector),Q02,direct_module,easy,How many credit points is the Advanced Machine Learning module worth?,6 credit points (CP).,1,0.667,1.0,9.0,"I don't have enough information about that in the provided documents. The question mentions a specific program (Masters Mechatronics) and a course title (""Advanced Machine Learning""), but there is no mention of this course being part of the TUHH curriculum or its credit point value.",5
Dense (Vector),Q03,direct_module,easy,What are the recommended prerequisites for Advanced Machine Learning?,"Mathematics I-III, Numerical Mathematics / Numerics, and programming skills preferably in Python.",0,0.0,0.0,9.62,"I don't have enough information about that in the provided documents. The context only mentions modules related to ICS, Mechatronics, Computer Science, and Data Science, but does not specifically mention ""Advanced Machine Learning"".",5
Dense (Vector),Q04,direct_module,easy,Who is responsible for the Advanced Machine Learning module at TUHH?,Dr. Jens-Peter Zemke.,0,0.0,0.0,7.3,I don't have enough information about that in the provided documents.,5
Dense (Vector),Q05,direct_module,easy,What type of examination does the Advanced Machine Learning module use?,"Written exam, 90 minutes.",1,1.0,0.5,8.04,I don't have enough information about that in the provided documents.,5
Dense (Vector),Q06,direct_module,medium,What topics are taught in the Advanced Machine Learning lecture?,Basics of neural nets; feedforward networks and backpropagation; CNNs; RNNs; adversarial attacks; residual networks; neural ODEs; autoencoders; GANs; attention and transformers.,0,0.0,0.0,5.72,"I don't have enough information about that in the provided documents. The question is specific to the ""Advanced Machine Learning"" lecture, which is not mentioned in the context provided.",5
Dense (Vector),Q07,direct_module,easy,In which semester is the Advanced Machine Learning course offered?,Winter semester (WiSe).,0,0.0,0.0,11.71,"I don't have enough information about that in the provided documents. The context only mentions teaching and learning arrangements, fields of teaching, and specific programs (e.g., Masters GTIME, Masters ICS, Masters MEM, Masters MEMS, Masters Mechatronics), but does not mention any course names or their respective semesters.",5
Dense (Vector),Q08,curriculum_structure,medium,Is Advanced Machine Learning compulsory for Data Science students?,Yes — it is listed as Core Qualification: Compulsory in the Data Science curriculum.,0,0.0,0.0,8.83,I don't have enough information about that in the provided documents.,5
Dense (Vector),Q09,curriculum_structure,medium,Which TUHH programs include Advanced Machine Learning in their curriculum?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, and Theoretical Mechanical Engineering.",1,0.667,0.25,14.15,"Based on the provided context, I found that the Master's program ""Data Science"" includes a specialization called ""Applications"" with an elective course titled ""Computational Methods and Machine Learning in Engineering"".

This program seems to match your interests as it focuses on machine learning, which is a key aspect of advanced technologies.",5
Dense (Vector),Q10,curriculum_structure,medium,What is the workload for the Advanced Machine Learning module?,Total workload 124 hours: Independent Study Time 62 h + Study Time in Lecture 28 h for the course component.,1,0.75,1.0,8.93,I don't have enough information about that in the provided documents.,5
Dense (Vector),Q11,curriculum_structure,medium,How many hours per week is the Advanced Machine Learning lecture?,2 hours/week lecture + 2 hours/week recitation (small group) = 4 hrs/wk total.,1,0.333,1.0,11.11,"I don't have enough information about that in the provided documents. The question asks for the number of hours per week for an ""Advanced Machine Learning"" lecture, but there is no such module or course mentioned in the context.",5
Dense (Vector),Q12,curriculum_structure,hard,What is the difference between Core Qualification and Elective modules in the Data Science program?,Core Qualification modules are compulsory for all program students. Elective modules are optional and allow specialisation in a sub-field.,1,1.0,1.0,34.54,"In the Master's Data Science program, the core qualification and elective modules differ in their focus and requirements.

Core Qualification modules are compulsory and primarily completed in the first two semesters. These modules amount to 42 CPs and include a business economics module and a non-technical course (foreign language, art, or cultural courses). The core qualification focuses on providing a solid foundation in data science principles.

Elective modules, on the other hand, are chosen by students from a range of options and can be completed in the second and third semesters. These modules amount to 18 CPs and include technical complementary courses like M1921 - Technical Complementary Course for DSMS (according to Subject Specific Regulations). The elective modules allow students to specialize in specific areas within data science.

In summary, core qualification modules provide a broad foundation in data science, while elective modules offer more specialized training in specific areas.",5
Dense (Vector),Q13,curriculum_structure,hard,How many total credit points are needed to finish the Data Science master?,120 credit points — standard for a 4-semester German M.Sc.,1,1.0,1.0,7.28,I don't have enough information about that in the provided documents.,5
Dense (Vector),Q14,recommendation,medium,I love mathematics and programming. What should I study at TUHH?,Data Science or Computer Science would suit you well — both require strong mathematical foundations and programming (Python).,1,0.667,1.0,28.73,"Based on your interests in mathematics and programming, I would recommend the Master's program in Computer Science (Masters Comp Sci). This program seems to align well with your strengths, as it covers topics such as principles of math (algebra, analysis/calculus), principles of programming (Java/C++), and solid R or Matlab skills.

Additionally, the module M0623 - Intelligent Systems in Medicine might also be of interest to you, as it builds upon the programming skills you've developed. This module focuses on applying intelligent systems methods to medical problems, which could be a great fit for someone with your interests in mathematics and programming.

Both programs seem to match your interests and strengths, but if I had to pick one that might be an even better fit, it would be Masters Comp Sci.",5
Dense (Vector),Q15,recommendation,easy,I am interested in deep learning and neural networks. Which module covers that?,"Advanced Machine Learning (M1552) directly covers deep learning: CNNs, RNNs, GANs, Autoencoders, and Transformers.",1,0.333,1.0,23.56,"Based on the provided context, I would recommend the ""Comp Sci | Module: Unknown - Unknown Module | ECTS: 6"" program.

This module focuses on modern deep-learning networks for computer vision and natural language processing, allowing students to learn about the structure of these networks and how to build and train their own based on specific constraints. The course also covers skills such as autonomy, social competence, and personal competence, which are essential for a student interested in deep learning and neural networks.

The module's emphasis on building and training own networks, as well as its focus on computer vision and natural language processing, aligns with your interests in deep learning and neural networks.",5
Dense (Vector),Q16,recommendation,medium,I want to understand Generative Adversarial Networks. What module should I take?,Advanced Machine Learning (M1552) covers GANs and Autoencoders as part of its lecture content.,1,0.333,0.2,13.7,"I don't have enough information about that in the provided documents. The context only mentions modules related to Mechatronics, Data Science, and GTIME, but not any specific courses or modules focused on Generative Adversarial Networks (GANs). If you're interested in learning more about GANs, I would recommend speaking with an academic advisor or a faculty member from the relevant department to get guidance on available courses or research opportunities.",5
Dense (Vector),Q17,recommendation,hard,I want to work in AI research after my master. What should I focus on at TUHH?,"Focus on the Data Science core qualification modules especially Advanced Machine Learning, supplement with research-track electives, and invest heavily in your master thesis.",1,0.667,1.0,21.23,"Based on the provided context, it seems that you're interested in pursuing a career in AI research after your master's degree. 

Considering the Master's Ship Tech program, it doesn't seem directly relevant to AI research. However, the Master's Data Sci program might be more suitable for you.

The Master's Data Sci program at TUHH is designed to prepare graduates for careers in research and development in academic or industrial environments, with a focus on data analysis, algorithmic processing, and feature extraction. This program would provide you with a strong foundation in computer science and machine learning, which are essential skills for AI research.

Additionally, the Master's Mechatronics program might also be worth considering, as it provides graduates with a multifaceted knowledge of methods for interdisciplinary topics, including those related to AI and robotics.

I recommend focusing on the Master's Data Sci program at TUHH, as it aligns more closely with your interest in AI research.",5
Dense (Vector),Q18,recommendation,medium,I enjoy working in teams and group projects. Are there modules with teamwork?,Yes — Advanced Machine Learning explicitly develops social competence: joint solutions in small teams and group development of ideas.,1,0.667,1.0,28.0,"Based on the provided context, I can recommend several modules that focus on teamwork and collaboration.

One option is Module L3245 ""Leading Agile Teams"" from the Masters MEM program. This module provides a comprehensive introduction to leading agile teams in modern work environments, covering essential concepts and practices necessary for effective team management. The module includes topics such as team dynamics, communication, leadership, and agile planning, which should appeal to students who enjoy working in teams.

Another option is Module Unknown from the Masters Mechatronics program. This module seems to focus on teamwork and collaboration, as it involves implementing concepts learned in lectures on a hardware platform within small groups, with cross-group collaboration and competition. After completing this module, students will be able to independently develop, optimize, and evaluate solutions for embedded systems.

Both of these modules seem to match your interests in working in teams and group projects.",5
Dense (Vector),Q19,recommendation,hard,I come from a physics background. Can I apply for the Data Science program?,"Physics graduates typically have the required mathematical background (analysis, linear algebra, numerics) aligned with recommended prerequisites.",0,0.0,0.0,13.96,"I don't have enough information about that in the provided documents. The context only mentions the Masters MEMS, Mechatronics, and Chem Bio programs, but not the Data Science program.",5
Dense (Vector),Q20,recommendation,medium,Which modules involve Python programming at TUHH?,Advanced Machine Learning explicitly recommends Python. Most Data Science core modules also use Python for implementations.,1,1.0,0.25,16.84,"Based on the provided context, I found that the Masters MSEMS program involves Python programming. The description states:

""Autonomy The acquisition of the necessary know-how and the solution of the subproblems is carried out individually. Due to this, the students are in the position to adopt new computer methods (here in particular Python programming, FE modeling, machine learning) and to expand those as far as necessary to solve the given task.""

This suggests that Python programming is a required skill for students in the Masters MSEMS program.",5
Dense (Vector),Q21,logistics,easy,Is the Advanced Machine Learning course taught in English or German?,English (language code EN).,1,0.5,1.0,12.54,"I don't have enough information about that in the provided documents. The context only mentions the general requirement for students to express themselves competently in a culturally appropriate and gender-sensitive manner in the language of the country (as far as this study-focus would be chosen), but it does not specify which language is used for specific courses like Advanced Machine Learning.",5
Dense (Vector),Q22,logistics,easy,How long is the Master of Science Data Science program at TUHH?,4 semesters (2 years).,1,1.0,1.0,12.01,"I don't have enough information about that in the provided documents. The context only provides the structure of the Master's programs in General Engineering Science, Civil Engineering, Environmental Engineering, and GTIME, but does not mention the specific duration or length of the Master of Science Data Science program at TUHH.",5
Dense (Vector),Q23,logistics,medium,What are the admission requirements for the Data Science master at TUHH?,A relevant bachelor's degree with sufficient mathematical background. Individual module admission requirements are listed as 'None'.,1,0.5,0.25,8.32,"I don't have enough information about that in the provided documents. The context only mentions the Masters Ship Tech, Masters ICS, and Masters Civil Eng programs, but not a Master's program in Data Science.",5
Dense (Vector),Q24,logistics,easy,What literature is recommended for the Advanced Machine Learning module?,Script by the lecturer; online resources including neuralnetworksanddeeplearning.com and deeplearningbook.org.,1,0.667,1.0,9.62,"I don't have enough information about that in the provided documents. The context only mentions the general structure of the modules, but does not provide specific recommendations for literature or a module code for ""Advanced Machine Learning"".",5
Dense (Vector),Q25,comparative,hard,What is the difference between Data Science and Computer Science programs at TUHH?,Both share modules like Advanced Machine Learning. Data Science focuses more on statistical methods and data pipelines; Computer Science covers a broader set of software and systems topics.,1,1.0,1.0,22.93,"Based on the provided context, I can tell you that both Master's programs in Data Science (Masters Data Sci) and Information and Communication Systems (Masters ICS) are distinct fields of study.

The Masters Data Sci program focuses on the application of data science methods to real-world problems. It is a specialization within the Engineering Science program, with an emphasis on applications.

In contrast, the Masters ICS program takes a more interdisciplinary approach, combining computer science, telecommunication, and networking disciplines. It aims to provide in-depth foundations for designing, analyzing, and implementing networked Cyber Physical Systems.

While both programs share some overlap in their technical aspects, they differ significantly in their focus and scope. If you're interested in applying data-driven methods to engineering problems, the Masters Data Sci program might be a better fit. However, if you're more interested in the intersection of computer science, telecommunication, and networking, the Masters ICS program could be a better match.

I don't have enough information about the Computer Science program at TUHH to provide a direct comparison.",5
Dense (Vector),Q26,comparative,medium,Which programs at TUHH share the Advanced Machine Learning module?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, Theoretical Mechanical Engineering.",1,0.667,0.5,7.2,I don't have enough information about that in the provided documents.,5
Dense (Vector),Q27,comparative,hard,Which TUHH programs involve machine learning?,"Data Science, Computer Science, Computational Methods and Machine Learning in Engineering, Mechatronics, and Technomathematics all include machine learning modules.",1,0.667,1.0,18.63,"Based on the provided context, I can identify two programs that involve machine learning:

1. Masters Data Sci | Program: This program is designed for those looking to understand and apply machine learning in the realm of physical systems, bridging the gap between abstract algorithms and real-world physical phenomena.
2. Masters MSEMS | Program: This program also involves machine learning, as it aims to enable students to evaluate suitable machine learning methods for problems involving physical systems.

Both programs seem to match your interests in machine learning, especially if you're looking to apply machine learning in the realm of physical systems or electrical engineering. The Masters Data Sci program might be a better fit if you want to focus on understanding and applying machine learning in various fields, including physical systems.",5
Dense (Vector),Q28,comparative,hard,What skills will I have after completing the Data Science master?,Professional knowledge: classify state-of-the-art neural networks. Practical skills: implement and apply neural networks to new domains. Social: collaborate in small teams. Autonomy: self-direct work and assess correctness independently.,1,0.75,0.333,9.15,"I don't have enough information about that in the provided documents. The context only mentions the Masters Ship Tech, Masters MEM, and Masters GTIME programs, but not the Master's in Data Science program.",5
