strategy,query_id,category,difficulty,query,gold_answer,hit_at_5,kw_cov,mrr,latency_s,answer,n_docs
Sparse (BM25),Q14,recommendation,medium,I love mathematics and programming. What should I study at TUHH?,Data Science or Computer Science would suit you well — both require strong mathematical foundations and programming (Python).,1,0.333,1.0,5.54,"Based on your interests in mathematics and programming, I would recommend studying the Master's program in Computer Science (M.Sc. ""Computer Science"") at TUHH. This program covers advanced topics in computer science, including programming, data structures, algorithms, and software engineering. The Advanced Seminar EIM I (L3385) is a relevant course that focuses on computer science and information technology, which aligns with your interests.

This program is highly recommended because it provides a solid foundation in computer science and programming, which will enable you to pursue a career in software development, data science, or related fields. Additionally, the program's emphasis on mathematical concepts, such as linear algebra and calculus, will also be beneficial for your future studies and career.",5
Sparse (BM25),Q15,recommendation,easy,I am interested in deep learning and neural networks. Which module covers that?,"Advanced Machine Learning (M1552) directly covers deep learning: CNNs, RNNs, GANs, Autoencoders, and Transformers.",1,0.333,1.0,2.84,"Based on the provided context, the module that covers deep learning and neural networks is ""Products, services and processes"" (3.3). This module introduces the fundamentals and current state of machine learning for natural language processing (NLP) and graphs in terms of content, users, and social relations, with a particular emphasis on key advancements in deep learning architectures.",5
Sparse (BM25),Q16,recommendation,medium,I want to understand Generative Adversarial Networks. What module should I take?,Advanced Machine Learning (M1552) covers GANs and Autoencoders as part of its lecture content.,1,0.333,1.0,3.36,"Based on the provided context, I would recommend taking Module L3008: Machine Learning Applications in Electric Power Systems. This module covers supervised learning problems, including Generative Adversarial Networks (GANs), which are a type of Generative Adversarial Network. The module is designed for students interested in applying machine learning techniques to electric power systems, which aligns with your interest in understanding GANs.",5
Sparse (BM25),Q17,recommendation,hard,I want to work in AI research after my master. What should I focus on at TUHH?,"Focus on the Data Science core qualification modules especially Advanced Machine Learning, supplement with research-track electives, and invest heavily in your master thesis.",1,0.667,0.333,3.37,"Based on the provided context, I would recommend the Master in Data Science at TUHH. This program covers the basics of mechanics, mathematics, and data science, which aligns with your interest in AI research. The Master in Data Science is a comprehensive program that provides a solid foundation in data science, machine learning, and AI, making it an ideal choice for pursuing a career in AI research.",5
Sparse (BM25),Q18,recommendation,medium,I enjoy working in teams and group projects. Are there modules with teamwork?,Yes — Advanced Machine Learning explicitly develops social competence: joint solutions in small teams and group development of ideas.,1,0.667,1.0,5.67,"You're interested in exploring teamwork and collaboration in a project-based environment. The Master in Data Science at TUHH covers various modules that focus on teamwork and collaboration, such as:

* ""Design Thinking"" (as mentioned in the context), which emphasizes the importance of teamwork and collaboration in the design process.
* ""Agile Design Methods"" (recommended), which introduces students to the principles of agile design and teamwork.
* ""Project Management"" (not explicitly mentioned, but implied), which covers the management of complex projects, including teamwork and collaboration.

I recommend the Master in Data Science because it provides a comprehensive education in data science, machine learning, and data analysis, with a strong focus on teamwork and collaboration. The program's emphasis on working with industry partners and working on real-world projects will help you develop essential skills in teamwork and collaboration.",5
Sparse (BM25),Q19,recommendation,hard,I come from a physics background. Can I apply for the Data Science program?,"Physics graduates typically have the required mathematical background (analysis, linear algebra, numerics) aligned with recommended prerequisites.",0,0.0,0.0,8.98,"As a physics background, you may find the Data Science program at TUHH to be a suitable fit. The program covers a range of topics, including data analysis, machine learning, and statistical modeling, which are all relevant to physics and engineering applications.

The Data Science program is designed to provide students with a solid foundation in programming, data structures, and algorithms, as well as hands-on experience with data analysis and visualization tools. You can expect to learn about statistical methods, data mining, and data visualization techniques, which are all essential skills for physicists working in fields such as astrophysics, materials science, or climate science.

Additionally, the Data Science program places a strong emphasis on programming languages such as Python, R, and Julia, which are commonly used in physics and engineering applications. You can expect to work on projects that involve data analysis, machine learning, and visualization, which are all relevant to your physics background.

The program also offers a range of electives and specializations, such as machine learning, data science, and computational modeling, which can help you to specialize in areas that interest you the most.

Overall, the Data Science program at TUHH is a great fit for students with a physics background, and can provide you with the skills and knowledge you need to pursue a career in data science and related fields.",5
Sparse (BM25),Q20,recommendation,medium,Which modules involve Python programming at TUHH?,Advanced Machine Learning explicitly recommends Python. Most Data Science core modules also use Python for implementations.,1,1.0,1.0,5.09,"Based on the provided context, the following modules at TUHH involve Python programming:

1. Mathematics I and Mathematics II (as taught in the modules ""Knowledge moments, stress, linear strain, free-body principle, linear-elastic constitutive laws, strain energy"")
2. Engineering Mechanics I and Engineering Mechanics II (as taught in the modules ""forces and Knowledge moments, stress, linear strain, free-body principle, linear-elastic constitutive laws, strain energy"")

These modules are the recommended prerequisites for participation in the seminar part of the course, which involves practical project work in simulated 2D- or 3D environments using virtual agents.",5
Sparse (BM25),Q21,logistics,easy,Is the Advanced Machine Learning course taught in English or German?,English (language code EN).,1,0.5,1.0,1.93,"The Advanced Machine Learning course taught in the M.Sc. ""Data Science"" module at TUHH is taught in English.",5
Sparse (BM25),Q22,logistics,easy,How long is the Master of Science Data Science program at TUHH?,4 semesters (2 years).,1,1.0,1.0,1.9,"The Master of Science in Data Science program at TUHH is a 1.5-year program, which is equivalent to one and a half semesters.",5
Sparse (BM25),Q23,logistics,medium,What are the admission requirements for the Data Science master at TUHH?,A relevant bachelor's degree with sufficient mathematical background. Individual module admission requirements are listed as 'None'.,1,0.5,1.0,8.36,"Based on the provided context, the admission requirements for the Data Science master at TUHH include:

- A bachelor's degree in a relevant field, such as mathematics, computer science, or engineering
- A strong academic record, with a minimum GPA of 2.5
- Proficiency in one of the following programming languages: Python, R, or SQL
- A portfolio or a personal project that demonstrates skills in data analysis, machine learning, or programming
- A written exam or a presentation that showcases knowledge of data science concepts and techniques

I don't have enough information about the specific requirements for the Data Science master at TUHH, as the provided context only mentions the general admission requirements for the master program.",5
Sparse (BM25),Q24,logistics,easy,What literature is recommended for the Advanced Machine Learning module?,Script by the lecturer; online resources including neuralnetworksanddeeplearning.com and deeplearningbook.org.,0,0.0,0.0,11.12,"For the Advanced Machine Learning module (L2322), I recommend the following literature:

- ""Deep Learning"" by Ian Goodfellow, Yoshua Bengio, and Aaron Courville (book)
- ""Deep Learning with Python"" by François Chollet (book)
- ""Python Machine Learning"" by Sebastian Raschka (book)
- ""Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow"" by Aurélien Géron (book)
- ""Deep Learning Specialization"" by Andrew Ng (online course)

These resources provide a comprehensive introduction to deep learning concepts, including neural networks, convolutional neural networks, and recurrent neural networks. They also cover the necessary programming skills in Python, which is the primary language used in the module.",5
Sparse (BM25),Q25,comparative,hard,What is the difference between Data Science and Computer Science programs at TUHH?,Both share modules like Advanced Machine Learning. Data Science focuses more on statistical methods and data pipelines; Computer Science covers a broader set of software and systems topics.,1,1.0,0.5,16.6,"Based on the provided context, the main difference between Data Science and Computer Science programs at TUHH lies in their focus and content.

The Master's program in Data Science at TUHH is characterized by its scientific orientation, clear focus in terms of content, and communication of its scientific approach. This program covers specializations such as Data Science & Mathematics, Data Science & Mathematics, and Special Focus Area, which indicate a strong emphasis on mathematical and computational aspects of data science.

In contrast, the Master's program in Computer Science at TUHH is more focused on the practical application of computer science concepts, with a greater emphasis on programming, software engineering, and software and signal processing. While there are some elective courses that cover data science topics, the overall focus of the program is more on the technical aspects of computer science.

If you're interested in pursuing a Master's program in Data Science at TUHH, I would recommend considering this program because of its strong emphasis on mathematical and computational aspects of data science, which aligns with your interests.",5
Sparse (BM25),Q26,comparative,medium,Which programs at TUHH share the Advanced Machine Learning module?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, Theoretical Mechanical Engineering.",1,0.333,1.0,6.28,"Based on the provided context, the programs at TUHH that share the Advanced Machine Learning module are:

1. Master in Data Science (M.Sc. ""Data Science"")
2. Master in Computer Science (M.Sc. ""Computer Science"")
3. Master in Information and Communication Systems (M.Sc. ""Information and Communication Systems"")

These programs all have the Advanced Machine Learning module as a required course.",5
Sparse (BM25),Q27,comparative,hard,Which TUHH programs involve machine learning?,"Data Science, Computer Science, Computational Methods and Machine Learning in Engineering, Mechatronics, and Technomathematics all include machine learning modules.",1,0.333,0.5,2.54,"Based on the provided context, the Master's program in Environmental Engineering at TUHH involves machine learning.",5
Sparse (BM25),Q28,comparative,hard,What skills will I have after completing the Data Science master?,Professional knowledge: classify state-of-the-art neural networks. Practical skills: implement and apply neural networks to new domains. Social: collaborate in small teams. Autonomy: self-direct work and assess correctness independently.,1,0.75,1.0,10.74,"Based on the provided context, after completing the Data Science master at the Technical University of Hamburg, you will have developed skills in:

1. Developing framework and strategies for enabling a supportive environment for fostering creativity and innovation, which aligns with the program's focus on Data Science and its applications in various industries.
2. Assessing and auditing the technology capabilities of a business, which is a key aspect of the Data Science master, as it involves analyzing data and presenting findings to stakeholders.
3. Analyzing the problems related to creativity, innovation, and technology management, which is also a core component of the Data Science master.

These skills will enable you to apply theoretical knowledge in real-life business cases, work in a real company, and make valuable contacts in the business world.",5
Sparse (BM25),Q29,comparative,hard,I want to combine engineering with advanced mathematics. What do you recommend?,Technomathematics or Interdisciplinary Mathematics combine rigorous mathematics with engineering applications. Computational Methods and Machine Learning in Engineering is also very relevant.,0,0.0,0.0,12.27,"Based on the provided context, I would recommend the Master in Data Science at TUHH. This program aligns with your interest in combining engineering with advanced mathematics, as it covers topics such as designing the Internet of Things and discussing underlying principles and mechanisms.

The Master in Data Science at TUHH is a well-regarded program that provides students with a comprehensive education in data science, including machine learning, artificial intelligence, and data mining. The program is designed to equip students with the skills and knowledge needed to work in various industries, including engineering, and to develop innovative solutions to complex problems.

By combining engineering and advanced mathematics, you will gain a deep understanding of the technical aspects of data science and be able to apply your knowledge to real-world problems. The program's focus on data science and its applications will provide you with a strong foundation in both engineering and mathematics.",5
Sparse (BM25),Q30,comparative,hard,Are there modules compulsory across multiple TUHH master programs?,Yes. Advanced Machine Learning (M1552) is compulsory in both Data Science (Core Qualification) and in Computational Methods and Machine Learning in Engineering.,1,0.667,1.0,13.06,"I don't have enough information about the specific modules across multiple TUHH master programs. However, I can suggest that you review the module handbook for each relevant master program to determine if there are any modules that are compulsory across multiple programs.

If you're looking for a master program that covers a broad range of topics, I would recommend considering the ""Master in Data Science"" program, which covers topics such as data analysis, machine learning, and data visualization. This program is designed to provide students with a comprehensive understanding of data science concepts and is offered across multiple specializations, including Coastal Engineering, Geotechnical Engineering, Structural Engineering, Water and Traffic, and Computational Engineering.

The program structure consists of a core qualification, which covers 66 CP in four semesters, and an additional 120 CPs in four semesters over a two-year period. The core qualification includes compulsory courses, elective courses, and a master thesis.",5
Dense (Vector),Q01,direct_module,easy,What is the module Advanced Machine Learning about?,"Advanced Machine Learning (M1552) covers neural networks, backpropagation, CNNs, RNNs, GANs, Autoencoders and Transformers. It is worth 6 CP, examined by a 90-minute written exam, and taught in English in the winter semester.",0,0.0,0.0,6.38,"The module Advanced Machine Learning is part of the Master's program GTIME (Source: Masters_GTIME). This module focuses on the application of machine learning techniques to various domains, including data science, business, and innovation. It aims to equip students with the necessary knowledge and skills to analyze and synthesize state-of-art knowledge on machine learning, network analysis, and conceptualization of innovation and value creation practices.",5
Dense (Vector),Q02,direct_module,easy,How many credit points is the Advanced Machine Learning module worth?,6 credit points (CP).,1,0.667,1.0,2.28,The Advanced Machine Learning module is worth 6 credit points.,5
Dense (Vector),Q03,direct_module,easy,What are the recommended prerequisites for Advanced Machine Learning?,"Mathematics I-III, Numerical Mathematics / Numerics, and programming skills preferably in Python.",0,0.0,0.0,7.55,"Based on the provided context, the recommended prerequisites for Advanced Machine Learning at TUHH are:

- A course on machine learning and neural networks, such as ""Internet Things and Wireless Networks"" at CAU, and
- C programming skills, as we will be using embedded IoT devices.

I don't have enough information about the specific course ""Advanced Machine Learning"" at TUHH, but it is likely that it builds upon the knowledge gained in the Master's Comp Sci program, which covers topics such as machine learning and neural networks.",5
Dense (Vector),Q04,direct_module,easy,Who is responsible for the Advanced Machine Learning module at TUHH?,Dr. Jens-Peter Zemke.,0,0.0,0.0,3.33,"The Advanced Machine Learning module at TUHH is taught by Professor NN, who is an expert in the field of Responsible Business: Sustainability, Compliance and Control Issues.",5
Dense (Vector),Q05,direct_module,easy,What type of examination does the Advanced Machine Learning module use?,"Written exam, 90 minutes.",1,1.0,0.2,2.26,The Advanced Machine Learning module at TUHH uses a written examination.,5
Dense (Vector),Q06,direct_module,medium,What topics are taught in the Advanced Machine Learning lecture?,Basics of neural nets; feedforward networks and backpropagation; CNNs; RNNs; adversarial attacks; residual networks; neural ODEs; autoencoders; GANs; attention and transformers.,1,0.25,1.0,7.48,"Based on the provided context, the Advanced Machine Learning lecture covers topics in limited time, including:

1. Familiarizing in a specific topic in limited time
2. Realizing a literature survey on the specific topic and citing in a correct way
3. Elaborating a presentation and giving a lecture to a selected audience
4. Summing up the presentation in 10-15 lines
5. Answering questions in the final discussion

These topics are all part of the Masters Comp Sci program, specifically the Advanced Machine Learning module.",5
Dense (Vector),Q07,direct_module,easy,In which semester is the Advanced Machine Learning course offered?,Winter semester (WiSe).,0,0.0,0.0,2.26,I don't have enough information about the Advanced Machine Learning course in the provided documents.,5
Dense (Vector),Q08,curriculum_structure,medium,Is Advanced Machine Learning compulsory for Data Science students?,Yes — it is listed as Core Qualification: Compulsory in the Data Science curriculum.,1,0.333,1.0,4.33,"I don't have enough information about the specific requirements for Advanced Machine Learning in the Master's Civil Eng program. However, based on the provided context, it appears that Advanced Machine Learning is not a mandatory course in the Master's Civil Eng program.",5
Dense (Vector),Q09,curriculum_structure,medium,Which TUHH programs include Advanced Machine Learning in their curriculum?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, and Theoretical Mechanical Engineering.",1,0.333,0.2,5.7,"Based on the provided context, the following TUHH programs include Advanced Machine Learning in their curriculum:

- Master in Data Science (MSEMS)
- Master in Materials Science and Engineering (MSEMS)
- Master in Computational Methods and Machine Learning in Engineering (MSEMS)
- Master in Mechanical Engineering (MEM)
- Master in Data Science (MSEMS)",5
Dense (Vector),Q10,curriculum_structure,medium,What is the workload for the Advanced Machine Learning module?,Total workload 124 hours: Independent Study Time 62 h + Study Time in Lecture 28 h for the course component.,1,0.25,1.0,2.7,"The Advanced Machine Learning module is a 12-week module, which is a significant portion of the workload for the Masters Env Eng program.",5
Dense (Vector),Q11,curriculum_structure,medium,How many hours per week is the Advanced Machine Learning lecture?,2 hours/week lecture + 2 hours/week recitation (small group) = 4 hrs/wk total.,1,0.333,1.0,2.81,"Based on the provided context, the Advanced Machine Learning lecture is typically assigned 96 hours of independent study time and 84 hours of study time in lecture.",5
Dense (Vector),Q12,curriculum_structure,hard,What is the difference between Core Qualification and Elective modules in the Data Science program?,Core Qualification modules are compulsory for all program students. Elective modules are optional and allow specialisation in a sub-field.,1,1.0,1.0,9.72,"In the Data Science program at TUHH, Core Qualification modules are compulsory and mandatory for all students, covering essential knowledge and skills in the field. These modules are typically chosen from the module catalogue and are designed to provide a broad foundation in data science.

On the other hand, Elective Compulsory modules are optional and can be chosen by students to enhance their knowledge and skills in specific areas of data science. These modules are also mandatory for all students, but they are not required to be taken.

In summary, the main difference between Core Qualification and Elective modules in the Data Science program is that Core Qualification modules are compulsory and mandatory, while Elective Compulsory modules are optional and can be chosen by students to supplement their learning.",5
Dense (Vector),Q13,curriculum_structure,hard,How many total credit points are needed to finish the Data Science master?,120 credit points — standard for a 4-semester German M.Sc.,1,1.0,1.0,2.38,"Based on the provided context, the Data Science master program at TUHH requires a total of 120 credit points.",5
Dense (Vector),Q14,recommendation,medium,I love mathematics and programming. What should I study at TUHH?,Data Science or Computer Science would suit you well — both require strong mathematical foundations and programming (Python).,1,0.667,1.0,7.07,"Based on your interests in mathematics and programming, I would recommend studying the Master's program in Data Science (Masters_Data_Sci) at TUHH. This program aligns with your interests as it covers principles of math (algebra, analysis/calculus), programming (e.g., in Java or C++), and solid R or Matlab skills. Additionally, you will have the opportunity to apply your knowledge in clinical contexts and illustrate systems and their components. This program is well-suited for students who want to combine their passion for mathematics and programming with practical applications.",5
Dense (Vector),Q15,recommendation,easy,I am interested in deep learning and neural networks. Which module covers that?,"Advanced Machine Learning (M1552) directly covers deep learning: CNNs, RNNs, GANs, Autoencoders, and Transformers.",0,0.0,0.0,6.42,"Based on the provided context, the Master's Comp Sci program covers deep learning and neural networks, including the structure of modern deep-learning networks for computer vision and natural language processing, as well as how to build and train networks based on the constraints of the target system.

I recommend the Master's Comp Sci program because it provides a comprehensive introduction to deep learning algorithms, including the necessary skills to design, implement, and understand your own deep learning models, using Python and the deep learning framework.",5
Dense (Vector),Q16,recommendation,medium,I want to understand Generative Adversarial Networks. What module should I take?,Advanced Machine Learning (M1552) covers GANs and Autoencoders as part of its lecture content.,0,0.0,0.0,6.08,"Based on the provided context, I recommend taking the ""Machine Learning in Wireless Communications"" (L3005) module, which is offered by Prof. Gerhard Bauch. This module is designed for a diverse audience, including students with different backgrounds, and is suitable for those with a basic understanding of machine learning methods. The module covers the fundamentals of machine learning and its applications in wireless communications, which aligns with your interest in Generative Adversarial Networks (GANs).",5
Dense (Vector),Q17,recommendation,hard,I want to work in AI research after my master. What should I focus on at TUHH?,"Focus on the Data Science core qualification modules especially Advanced Machine Learning, supplement with research-track electives, and invest heavily in your master thesis.",1,0.667,1.0,9.29,"Based on the provided context, I would recommend the Master's program in Data Science (Masters_Data_Sci) at the Technical University of Hamburg (TUHH). This program is well-suited for an AI research career, as it covers topics such as analyzing problems scientifically, solving complex tasks, and using innovative methods.

The program's focus on data science, machine learning, and AI aligns with the interests of AI research. Additionally, the program's emphasis on interdisciplinary teams and collaboration with other participants can help you develop the skills and competencies needed for a career in AI research.

Furthermore, the program's career prospects and personal competence areas, such as social competence, autonomy, and mathematics, can help you prepare for a successful career in AI research.",5
Dense (Vector),Q18,recommendation,medium,I enjoy working in teams and group projects. Are there modules with teamwork?,Yes — Advanced Machine Learning explicitly develops social competence: joint solutions in small teams and group development of ideas.,1,0.667,1.0,11.84,"You're interested in modules that focus on teamwork and group projects. Based on the provided context, I recommend the following modules:

1. **Master in Data Science**: This module covers comprehensive planning and evaluation of IoT projects, incorporating scientific methodologies for real-world applications. It emphasizes teamwork and group work, where students learn to define and split tasks within the team.
2. **Master in Mechatronics**: This module also covers comprehensive planning and evaluation of IoT projects, with a focus on teamwork and group work. Students learn to work in small mixed groups, define and split tasks, and present results independently or in groups.
3. **Master in Civil Eng**: This module focuses on developing teamwork and problem-solving skills through Research-Based Teaching approaches. Students are involved in writing individual reports and presentations, which contributes to their ability and willingness to work independently and responsibly.

All three modules offer opportunities for students to work in teams and develop their teamwork skills, making them suitable for students who enjoy working in groups.",5
Dense (Vector),Q19,recommendation,hard,I come from a physics background. Can I apply for the Data Science program?,"Physics graduates typically have the required mathematical background (analysis, linear algebra, numerics) aligned with recommended prerequisites.",1,0.5,1.0,11.18,"Based on the provided context, it appears that the Data Science program at TUHH is a suitable fit for your physics background. The program covers topics such as machine learning, which is a key area of research in physics, particularly in the realm of condensed matter physics and quantum mechanics.

The Data Science program at TUHH is designed to build on the bachelor's degree in data science and is open to bachelor's degree graduates in computer science or mathematics with relevant majors in data science, machine learning, or artificial intelligence. Given your physics background, you may find the program's emphasis on machine learning and computational methods to be particularly relevant.

Additionally, the program's two-year duration and four-semester structure align with your typical undergraduate program timeline, allowing you to transition smoothly into the program.",5
Dense (Vector),Q20,recommendation,medium,Which modules involve Python programming at TUHH?,Advanced Machine Learning explicitly recommends Python. Most Data Science core modules also use Python for implementations.,1,0.5,1.0,8.28,"Based on the provided context, the following modules at TUHH involve Python programming:

- Masters Mechatronics (M.Sc. ""Software Engineering (Software Development and Life Cycles , Software Modelling in UML"")
- Masters Civil Eng (M.Sc. ""Software Engineering (Software Development and Life Cycles , Software Modelling in UML"")
- Masters Data Sci (M.Sc. ""Data Science"")
- Masters Comp Sci (M.Sc. ""Computer Science"")
- Masters ICS (M.Sc. ""Information and Communication Systems"")

These modules cover various aspects of programming, including software development, data science, computer science, and information and communication systems, which all involve Python programming.",5
Dense (Vector),Q21,logistics,easy,Is the Advanced Machine Learning course taught in English or German?,English (language code EN).,1,1.0,1.0,2.3,The Advanced Machine Learning course is taught in English.,5
Dense (Vector),Q22,logistics,easy,How long is the Master of Science Data Science program at TUHH?,4 semesters (2 years).,1,0.5,1.0,2.73,"The Master of Science Data Science program at TUHH is a 7-semester program, which typically takes around 2 years to complete.",5
Dense (Vector),Q23,logistics,medium,What are the admission requirements for the Data Science master at TUHH?,A relevant bachelor's degree with sufficient mathematical background. Individual module admission requirements are listed as 'None'.,0,0.0,0.0,7.11,"Based on the provided context, I don't have enough information about the Data Science master program at TUHH. However, I can provide some general information.

The Data Science master program at TUHH is a graduate program that covers various aspects of data science, including machine learning, data mining, and data visualization. The program is designed to equip students with the necessary skills to apply knowledge and skills in practice to identify and solve specific data science-related tasks.

If you're interested in pursuing the Data Science master program at TUHH, I would recommend checking the program's official website or contacting the academic advisor for more information on the admission requirements.",5
Dense (Vector),Q24,logistics,easy,What literature is recommended for the Advanced Machine Learning module?,Script by the lecturer; online resources including neuralnetworksanddeeplearning.com and deeplearningbook.org.,1,0.667,1.0,10.23,"Based on the provided context, I recommend the following literature for the Advanced Machine Learning module:

- ""Machine Learning: A Probabilistic Perspective"" by Andrew Ng and Michael I. Jordan (Source: Masters_Comp_Sci)
- ""Deep Learning"" by Ian Goodfellow, Yoshua Bengio, and Aaron Courville (Source: Masters_Comp_Sci)
- ""Pattern Recognition and Machine Learning"" by Christopher M. Bishop (Source: Masters_Comp_Sci)
- ""Deep Learning Specialization"" by Andrew Ng (Source: Masters_Comp_Sci)
- ""Machine Learning for Data Science"" by Sebastian Raschka (Source: Masters_Comp_Sci)

These resources provide a comprehensive introduction to machine learning concepts, including supervised and unsupervised learning, neural networks, and deep learning. They are suitable for advanced machine learning students and can be used to develop the contents of the Advanced Machine Learning module.",5
Dense (Vector),Q25,comparative,hard,What is the difference between Data Science and Computer Science programs at TUHH?,Both share modules like Advanced Machine Learning. Data Science focuses more on statistical methods and data pipelines; Computer Science covers a broader set of software and systems topics.,1,1.0,0.5,16.85,"Based on the provided context, the main difference between Data Science and Computer Science programs at TUHH lies in their focus and core subjects.

The Master's program in Data Science (Masters_Chem_Bio) covers the core subjects of corresponding Bachelor's programs in process engineering, bioprocess engineering, energy and environmental engineering, and general engineering science. This suggests that Data Science programs at TUHH are more focused on the application of data science techniques to real-world problems in these fields.

In contrast, the Master's program in Computer Science (Masters_Data_Sci) covers a broader range of subjects, including mathematics, computer science, and engineering science, with a focus on computer science and mathematics. This suggests that Computer Science programs at TUHH are more focused on the theoretical foundations of computer science and mathematics.

Given your interest in Data Science, I would recommend the Master's program in Data Science (Masters_Chem_Bio) at TUHH, as it aligns with your interests and provides a strong foundation in the application of data science techniques to real-world problems in engineering and environmental fields.",5
